counter,time,x,y,w,h
1,22,332,26,13,11
2,22,413,25,15,11
1,22,333,27,13,11
2,22,414,26,15,11
1,22,335,28,13,11
2,22,415,27,15,11
1,22,333,29,13,11
2,22,414,28,15,11
1,22,333,27,13,11
2,22,414,26,15,11
1,22,336,27,13,11
2,22,417,26,15,11
1,22,333,28,13,11
2,22,414,28,15,11
1,22,335,28,13,11
2,22,415,27,15,11
1,23,334,28,13,11
2,23,416,27,15,11
1,23,333,27,13,11
2,23,415,27,15,11
1,23,335,28,13,11
2,23,416,27,15,11
1,23,336,29,13,11
2,23,418,28,15,11
1,23,336,29,13,11
2,23,417,29,15,11
1,23,337,28,13,11
2,23,418,28,15,11
1,23,335,28,13,11
2,23,417,28,15,11
1,23,336,29,13,11
2,23,417,28,15,11
1,23,336,30,13,11
2,23,418,29,15,11
1,23,336,31,13,11
2,23,417,29,15,11
1,24,337,30,13,11
2,24,419,28,15,11
1,24,337,29,13,11
2,24,419,27,15,11
1,24,336,29,13,11
2,24,418,28,15,11
1,24,335,30,13,11
2,24,417,29,15,11
1,24,338,30,13,11
2,24,421,29,15,11
1,24,341,29,13,11
2,24,422,28,15,11
1,24,338,30,13,11
2,24,422,29,15,11
1,24,335,30,13,11
2,24,421,28,15,11
1,24,334,30,13,11
2,24,421,28,15,11
1,24,335,31,13,11
2,24,421,29,15,11
1,25,338,29,13,11
2,25,423,26,15,11
1,25,339,32,13,11
2,25,424,28,15,11
1,25,337,33,13,11
2,25,421,30,15,11
1,25,339,33,13,11
2,25,421,29,15,11
1,25,339,31,13,11
2,25,421,28,15,11
1,25,339,33,13,11
2,25,421,30,15,11
1,25,339,35,13,11
2,25,422,32,15,11
1,25,339,33,13,11
2,25,421,30,15,11
1,25,340,34,13,11
2,25,423,30,15,11
1,25,342,34,13,11
2,25,425,31,15,11
1,26,340,35,13,11
2,26,423,32,15,11
1,26,341,34,13,11
2,26,423,32,15,11
1,26,342,34,13,11
2,26,424,31,15,11
1,26,341,34,13,11
2,26,424,30,15,11
1,26,341,34,13,11
2,26,423,31,15,11
1,26,342,35,13,11
2,26,424,32,15,11
1,26,342,37,13,11
2,26,425,33,15,11
1,26,341,35,13,11
2,26,423,32,15,11
1,26,340,35,13,11
2,26,424,31,15,11
1,26,342,37,13,11
2,26,425,33,15,11
1,27,342,38,13,11
2,27,426,33,15,11
1,27,343,37,13,11
2,27,426,32,15,11
1,27,343,38,13,11
2,27,426,33,15,11
1,27,341,39,13,11
2,27,425,35,15,11
1,27,342,37,13,11
2,27,426,33,15,11
1,27,344,38,13,11
2,27,427,33,15,11
1,27,344,39,13,11
2,27,428,34,15,11
1,27,344,37,13,11
2,27,428,32,15,11
1,27,343,38,13,11
2,27,426,34,15,11
1,27,342,40,13,11
2,27,425,34,15,11
1,28,344,39,13,11
2,28,428,32,15,11
1,28,343,38,13,11
2,28,427,32,15,11
1,28,341,39,13,11
2,28,428,32,15,11
1,28,341,39,13,11
2,28,428,33,15,11
1,28,341,41,13,11
2,28,429,34,15,11
1,28,342,39,13,11
2,28,430,33,15,11
1,28,342,36,13,11
2,28,430,30,15,11
1,28,341,37,13,11
2,28,429,30,15,11
1,28,342,38,13,11
2,28,427,33,15,11
1,28,344,39,13,11
2,28,429,34,15,11
1,29,343,38,13,11
2,29,427,33,15,11
1,29,342,37,13,11
2,29,427,33,15,11
1,29,342,38,13,11
2,29,427,34,15,11
1,29,343,39,13,11
2,29,427,35,15,11
1,29,344,39,13,11
2,29,428,36,15,11
1,29,344,37,13,11
2,29,429,34,15,11
1,29,344,39,13,11
2,29,429,37,15,11
1,29,344,40,13,11
2,29,429,39,15,11
1,30,345,39,13,11
2,30,430,38,15,11
1,30,345,39,13,11
2,30,430,38,15,11
1,30,347,41,13,11
2,30,431,40,15,11
1,30,346,40,13,11
2,30,431,39,15,11
1,30,344,41,13,11
2,30,430,41,15,11
1,30,345,43,13,11
2,30,430,43,15,11
1,30,347,40,13,11
2,30,431,40,15,11
1,30,346,38,13,11
2,30,432,39,15,11
1,30,346,44,13,11
2,30,431,44,15,11
1,30,345,43,13,11
2,30,431,43,15,11
1,30,346,39,13,11
2,30,432,40,15,11
1,31,345,39,13,11
2,31,431,39,15,11
1,31,347,41,13,11
2,31,432,42,15,11
1,31,347,42,13,11
2,31,433,43,15,11
1,31,345,41,13,11
2,31,430,42,15,11
1,31,347,42,13,11
2,31,432,43,15,11
1,31,346,42,13,11
2,31,431,42,15,11
1,31,346,43,13,11
2,31,430,44,15,11
1,31,348,42,13,11
2,31,433,42,15,11
1,31,348,44,13,11
2,31,433,44,15,11
1,32,344,45,13,11
2,32,434,44,15,11
1,32,346,41,13,11
2,32,436,41,15,11
1,32,345,44,13,11
2,32,435,43,15,11
1,32,344,46,13,11
2,32,434,45,15,11
1,32,345,44,13,11
2,32,435,43,15,11
1,32,345,44,13,11
2,32,435,44,15,11
1,32,345,47,13,11
2,32,432,46,15,11
1,32,347,44,13,11
2,32,434,44,15,11
1,32,348,46,13,11
2,32,435,45,15,11
1,32,345,47,13,11
2,32,432,45,15,11
1,32,348,46,13,11
2,32,434,44,15,11
1,33,349,47,13,11
2,33,434,45,15,11
1,33,348,49,13,11
2,33,433,48,15,11
1,33,347,47,13,11
2,33,434,46,15,11
1,33,348,46,13,11
2,33,434,45,15,11
1,33,347,49,13,11
2,33,434,48,15,11
1,33,350,48,13,11
2,33,436,48,15,11
1,33,349,50,13,11
2,33,435,49,15,11
1,33,347,51,13,11
2,33,433,49,15,11
1,33,348,49,13,11
2,33,434,47,15,11
1,33,348,50,13,11
2,33,435,49,15,11
1,34,348,50,13,11
2,34,435,48,15,11
1,34,349,50,13,11
2,34,436,49,15,11
1,34,348,52,13,11
2,34,434,50,15,11
1,34,346,49,13,11
2,34,433,48,15,11
1,34,349,50,13,11
2,34,437,49,15,11
1,34,349,51,13,11
2,34,437,51,15,11
1,34,349,51,13,11
2,34,436,51,15,11
1,34,348,52,13,11
2,34,435,52,15,11
1,34,348,52,13,11
2,34,436,52,15,11
1,35,349,51,13,11
2,35,437,51,15,11
1,35,350,52,13,11
2,35,437,52,15,11
1,35,346,52,13,11
2,35,435,52,15,11
1,35,347,51,13,11
2,35,435,51,15,11
1,35,349,52,13,11
2,35,437,52,15,11
1,35,350,52,13,11
2,35,438,52,15,11
1,35,348,50,13,11
2,35,439,50,15,11
1,35,347,51,13,11
2,35,439,51,15,11
1,35,349,54,13,11
2,35,442,54,15,11
1,35,348,53,13,11
2,35,439,53,15,11
1,36,350,53,13,11
2,36,441,53,15,11
1,36,348,55,13,11
2,36,440,55,15,11
1,36,350,55,13,11
2,36,438,55,15,11
1,36,350,54,13,11
2,36,438,55,15,11
1,36,351,55,13,11
2,36,440,56,15,11
1,36,352,56,13,11
2,36,439,57,15,11
1,36,350,54,13,11
2,36,437,55,15,11
1,36,350,57,13,11
2,36,437,58,15,11
1,36,352,57,13,11
2,36,439,58,15,11
1,36,353,57,13,11
2,36,440,57,15,11
1,36,350,57,13,11
2,36,438,58,15,11
1,37,352,58,13,11
2,37,440,58,15,11
1,37,352,59,13,11
2,37,440,60,15,11
1,37,351,56,13,11
2,37,440,57,15,11
1,37,351,57,13,11
2,37,439,58,15,11
1,37,352,60,13,11
2,37,441,60,15,11
1,37,350,57,13,11
2,37,440,58,15,11
1,37,350,56,13,11
2,37,439,56,15,11
1,37,353,58,13,11
2,37,440,58,15,11
1,37,353,59,13,11
2,37,442,59,15,11
1,38,351,59,13,11
2,38,441,58,15,11
1,38,352,58,13,11
2,38,441,57,15,11
1,38,352,60,13,11
2,38,440,60,15,11
1,38,350,60,13,11
2,38,439,61,15,11
1,38,354,60,13,11
2,38,444,60,15,11
1,38,352,63,13,11
2,38,442,63,15,11
1,38,351,63,13,11
2,38,439,63,15,11
1,38,353,62,13,11
2,38,442,62,15,11
1,38,354,60,13,11
2,38,443,60,15,11
1,38,352,61,13,11
2,38,440,60,15,11
1,38,354,61,13,11
2,38,443,61,15,11
1,39,352,61,13,11
2,39,445,60,15,11
1,39,351,62,13,11
2,39,445,61,15,11
1,39,352,61,13,11
2,39,447,60,15,11
1,39,352,63,13,11
2,39,446,62,15,11
1,39,350,63,13,11
2,39,445,62,15,11
1,39,353,63,13,11
2,39,448,62,15,11
1,39,352,65,13,11
2,39,446,63,15,11
1,39,354,65,13,11
2,39,444,63,15,11
1,39,354,64,13,11
2,39,444,63,15,11
1,39,352,64,13,11
2,39,442,64,15,11
1,40,354,64,13,11
2,40,445,62,15,11
1,40,356,65,13,11
2,40,447,63,15,11
1,40,354,66,13,11
2,40,443,64,15,11
1,40,353,66,13,11
2,40,443,64,15,11
1,40,354,64,13,11
2,40,445,62,15,11
1,40,353,66,13,11
2,40,443,64,15,11
1,40,355,64,13,11
2,40,445,63,15,11
1,40,355,65,13,11
2,40,446,64,15,11
1,40,352,66,13,11
2,40,443,64,15,11
1,41,355,66,13,11
2,41,445,64,15,11
1,41,355,68,13,11
2,41,446,66,15,11
1,41,353,67,13,11
2,41,443,65,15,11
1,41,357,68,13,11
2,41,447,66,15,11
1,41,358,70,13,11
2,41,448,69,15,11
1,41,356,69,13,11
2,41,446,68,15,11
1,41,355,69,13,11
2,41,446,67,15,11
1,41,356,70,13,11
2,41,446,69,15,11
1,41,356,70,13,11
2,41,447,68,15,11
1,41,356,69,13,11
2,41,448,68,15,11
1,41,356,69,13,11
2,41,446,69,15,11
1,42,357,71,13,11
2,42,448,70,15,11
1,42,358,71,13,11
2,42,449,70,15,11
1,42,358,71,13,11
2,42,449,70,15,11
1,42,357,73,13,11
2,42,448,71,15,11
1,42,357,73,13,11
2,42,448,72,15,11
1,42,357,72,13,11
2,42,448,72,15,11
1,42,356,71,13,11
2,42,451,71,15,11
1,42,356,71,13,11
2,42,452,70,15,11
1,42,355,72,13,11
2,42,451,72,15,11
1,42,355,71,13,11
2,42,450,71,15,11
1,43,355,71,13,11
2,43,451,71,15,11
1,43,356,73,13,11
2,43,452,73,15,11
1,43,355,72,13,11
2,43,449,74,15,11
1,43,359,71,13,11
2,43,450,73,15,11
1,43,358,74,13,11
2,43,450,75,15,11
1,43,357,73,13,11
2,43,450,74,15,11
1,43,360,74,13,11
2,43,452,75,15,11
1,43,361,75,13,11
2,43,453,76,15,11
1,43,360,75,13,11
2,43,452,76,15,11
1,43,359,73,13,11
2,43,452,76,15,11
1,44,359,76,13,11
2,44,451,77,15,11
1,44,359,76,13,11
2,44,451,77,15,11
1,44,359,75,13,11
2,44,451,76,15,11
1,44,360,75,13,11
2,44,452,77,15,11
1,44,360,74,13,11
2,44,452,77,15,11
1,44,360,74,13,11
2,44,452,76,15,11
1,44,359,75,13,11
2,44,451,77,15,11
1,44,360,75,13,11
2,44,452,77,15,11
1,44,360,76,13,11
2,44,453,77,15,11
1,44,359,77,13,11
2,44,452,78,15,11
1,45,360,77,13,11
2,45,453,78,15,11
1,45,362,76,13,11
2,45,454,77,15,11
1,45,360,76,13,11
2,45,453,77,15,11
1,45,359,76,13,11
2,45,452,78,15,11
1,45,360,75,13,11
2,45,453,77,15,11
1,45,360,74,13,11
2,45,452,75,15,11
1,45,361,75,13,11
2,45,454,77,15,11
1,45,362,78,13,11
2,45,454,79,15,11
1,45,360,76,13,11
2,45,453,77,15,11
1,45,361,76,13,11
2,45,454,77,15,11
1,46,361,77,13,11
2,46,455,78,15,11
1,46,361,77,13,11
2,46,455,78,15,11
1,46,358,75,13,11
2,46,457,75,15,11
1,46,359,75,13,11
2,46,458,76,15,11
1,46,360,76,13,11
2,46,459,76,15,11
1,46,359,77,13,11
2,46,458,78,15,11
1,46,359,76,13,11
2,46,458,76,15,11
1,46,360,75,13,11
2,46,459,75,15,11
1,46,359,76,13,11
2,46,455,76,15,11
1,46,359,76,13,11
2,46,453,76,15,11
1,47,363,76,13,11
2,47,457,77,15,11
1,47,364,76,13,11
2,47,457,76,15,11
1,47,362,78,13,11
2,47,456,78,15,11
1,47,363,78,13,11
2,47,457,77,15,11
1,47,361,76,13,11
2,47,455,75,15,11
1,47,362,77,13,11
2,47,457,76,15,11
1,47,365,79,13,11
2,47,459,78,15,11
1,47,363,79,13,11
2,47,458,79,15,11
1,47,363,77,13,11
2,47,458,76,15,11
1,48,363,76,13,11
2,48,458,75,15,11
1,48,363,79,13,11
2,48,458,79,15,11
1,48,365,79,13,11
2,48,460,78,15,11
1,48,365,76,13,11
2,48,460,75,15,11
1,48,364,79,13,11
2,48,458,77,15,11
1,48,365,80,13,11
2,48,460,79,15,11
1,48,365,76,13,11
2,48,461,76,15,11
1,48,365,77,13,11
2,48,460,76,15,11
1,48,364,79,13,11
2,48,459,77,15,11
1,48,364,79,13,11
2,48,460,78,15,11
1,48,363,75,13,11
2,48,458,74,15,11
1,49,365,75,13,11
2,49,460,73,15,11
1,49,363,75,13,11
2,49,459,75,15,11
1,49,364,78,13,11
2,49,460,77,15,11
1,49,364,77,13,11
2,49,461,76,15,11
1,49,365,76,13,11
2,49,461,76,15,11
1,49,365,75,13,11
2,49,460,75,15,11
1,49,367,76,13,11
2,49,463,75,15,11
1,49,366,75,13,11
2,49,462,75,15,11
1,49,363,75,13,11
2,49,463,74,15,11
1,49,364,75,13,11
2,49,465,73,15,11
1,50,366,74,13,11
2,50,467,73,15,11
1,50,366,75,13,11
2,50,467,74,15,11
1,50,364,75,13,11
2,50,465,75,15,11
1,50,365,75,13,11
2,50,466,75,15,11
1,50,366,75,13,11
2,50,462,75,15,11
1,50,368,75,13,11
2,50,464,76,15,11
1,50,367,76,13,11
2,50,464,76,15,11
1,50,367,76,13,11
2,50,463,76,15,11
1,50,370,75,13,11
2,50,467,76,15,11
1,50,370,77,13,11
2,50,466,77,15,11
1,51,369,78,13,11
2,51,465,79,15,11
1,51,369,76,13,11
2,51,466,76,15,11
1,51,370,76,13,11
2,51,467,76,15,11
1,51,370,78,13,11
2,51,468,78,15,11
1,51,370,76,13,11
2,51,468,77,15,11
1,51,370,77,13,11
2,51,468,78,15,11
1,51,368,78,13,11
2,51,465,79,15,11
1,51,371,77,13,11
2,51,469,78,15,11
1,51,371,77,13,11
2,51,468,78,15,11
1,51,370,79,13,11
2,51,467,79,15,11
1,52,371,78,13,11
2,52,469,79,15,11
1,52,371,79,13,11
2,52,469,80,15,11
1,52,370,79,13,11
2,52,469,80,15,11
1,52,372,78,13,11
2,52,471,78,15,11
1,52,371,79,13,11
2,52,469,78,15,11
1,52,371,81,13,11
2,52,469,81,15,11
1,52,373,80,13,11
2,52,471,79,15,11
1,52,373,77,13,11
2,52,471,77,15,11
1,52,372,78,13,11
2,52,470,78,15,11
1,52,374,78,13,11
2,52,471,79,15,11
1,53,373,80,13,11
2,53,471,81,15,11
1,53,372,80,13,11
2,53,471,80,15,11
1,53,374,76,13,11
2,53,473,76,15,11
1,53,372,78,13,11
2,53,471,77,15,11
1,53,370,78,13,11
2,53,473,77,15,11
1,53,371,75,13,11
2,53,474,75,15,11
1,53,371,76,13,11
2,53,474,75,15,11
1,53,372,78,13,11
2,53,476,77,15,11
1,53,371,79,13,11
2,53,474,77,15,11
1,53,369,78,13,11
2,53,472,76,15,11
1,53,373,81,13,11
2,53,472,79,15,11
1,54,376,83,13,11
2,54,474,81,15,11
1,54,375,82,13,11
2,54,473,81,15,11
1,54,375,83,13,11
2,54,473,81,15,11
1,54,372,81,13,11
2,54,472,80,15,11
1,54,373,81,13,11
2,54,472,80,15,11
1,54,376,80,13,11
2,54,474,79,15,11
1,54,376,81,13,11
2,54,474,79,15,11
1,54,373,85,13,11
2,54,472,81,15,11
1,54,376,84,13,11
2,54,475,81,15,11
1,54,375,82,13,11
2,54,474,80,15,11
1,55,374,83,13,11
2,55,473,81,15,11
1,55,378,85,13,11
2,55,477,83,15,11
1,55,378,87,13,11
2,55,477,85,15,11
1,55,377,86,13,11
2,55,476,83,15,11
1,55,378,85,13,11
2,55,477,82,15,11
1,55,376,85,13,11
2,55,476,83,15,11
1,55,376,85,13,11
2,55,476,83,15,11
1,55,378,84,13,11
2,55,478,82,15,11
1,55,379,87,13,11
2,55,478,85,15,11
1,56,377,86,13,11
2,56,476,84,15,11
1,56,377,85,13,11
2,56,477,84,15,11
1,56,377,87,13,11
2,56,477,85,15,11
1,56,379,86,13,11
2,56,479,84,15,11
1,56,379,86,13,11
2,56,479,85,15,11
1,56,378,87,13,11
2,56,477,85,15,11
1,56,379,86,13,11
2,56,479,84,15,11
1,56,377,87,13,11
2,56,478,86,15,11
1,56,379,86,13,11
2,56,479,85,15,11
1,56,376,87,13,11
2,56,481,85,15,11
1,57,374,87,13,11
2,57,479,85,15,11
1,57,378,86,13,11
2,57,483,86,15,11
1,57,377,87,13,11
2,57,483,87,15,11
1,57,377,91,13,11
2,57,483,91,15,11
1,57,378,89,13,11
2,57,483,89,15,11
1,57,378,88,13,11
2,57,483,87,15,11
1,57,380,90,13,11
2,57,481,88,15,11
1,57,380,91,13,11
2,57,481,90,15,11
1,57,381,92,13,11
2,57,481,91,15,11
1,57,381,89,13,11
2,57,482,89,15,11
1,57,379,91,13,11
2,57,481,91,15,11
1,58,380,91,13,11
2,58,482,90,15,11
1,58,379,90,13,11
2,58,480,89,15,11
1,58,379,90,13,11
2,58,481,89,15,11
1,58,380,94,13,11
2,58,481,92,15,11
1,58,381,94,13,11
2,58,482,92,15,11
1,58,380,92,13,11
2,58,482,91,15,11
1,58,381,91,13,11
2,58,483,90,15,11
1,58,381,96,13,11
2,58,484,94,15,11
1,58,380,96,13,11
2,58,482,93,15,11
1,58,381,95,13,11
2,58,483,92,15,11
1,59,382,96,13,11
2,59,485,93,15,11
1,59,383,98,13,11
2,59,485,95,15,11
1,59,382,95,13,11
2,59,485,92,15,11
1,59,382,94,13,11
2,59,484,91,15,11
1,59,382,96,13,11
2,59,484,94,15,11
1,59,382,96,13,11
2,59,484,96,15,11
1,59,382,96,13,11
2,59,485,94,15,11
1,59,382,95,13,11
2,59,485,93,15,11
1,59,381,96,13,11
2,59,484,94,15,11
1,60,382,98,13,11
2,60,485,97,15,11
1,60,384,97,13,11
2,60,487,96,15,11
1,60,383,97,13,11
2,60,487,96,15,11
1,60,383,97,13,11
2,60,487,98,15,11
1,60,384,99,13,11
2,60,487,99,15,11
1,60,381,95,13,11
2,60,489,95,15,11
1,60,381,97,13,11
2,60,490,97,15,11
1,60,381,96,13,11
2,60,490,97,15,11
1,60,381,95,13,11
2,60,491,97,15,11
1,60,380,96,13,11
2,60,490,98,15,11
1,61,381,96,13,11
2,61,490,98,15,11
1,61,381,95,13,11
2,61,487,99,15,11
1,61,383,96,13,11
2,61,487,98,15,11
1,61,384,96,13,11
2,61,488,99,15,11
1,61,383,100,13,11
2,61,487,101,15,11
1,61,386,100,13,11
2,61,491,102,15,11
1,61,386,97,13,11
2,61,489,99,15,11
1,61,384,99,13,11
2,61,488,100,15,11
1,61,383,102,13,11
2,61,488,104,15,11
1,61,383,101,13,11
2,61,488,104,15,11
1,61,385,99,13,11
2,61,490,101,15,11
1,62,387,101,13,11
2,62,491,102,15,11
1,62,387,101,13,11
2,62,492,103,15,11
1,62,384,101,13,11
2,62,489,102,15,11
1,62,385,100,13,11
2,62,489,102,15,11
1,62,386,100,13,11
2,62,490,103,15,11
1,62,387,102,13,11
2,62,492,104,15,11
1,62,385,103,13,11
2,62,489,104,15,11
1,62,385,101,13,11
2,62,489,103,15,11
1,62,387,102,13,11
2,62,492,104,15,11
1,62,385,103,13,11
2,62,491,105,15,11
1,63,386,103,13,11
2,63,491,105,15,11
1,63,387,105,13,11
2,63,493,107,15,11
1,63,386,104,13,11
2,63,491,106,15,11
1,63,388,103,13,11
2,63,494,105,15,11
1,63,386,104,13,11
2,63,492,105,15,11
1,63,386,107,13,11
2,63,492,108,15,11
1,63,387,107,13,11
2,63,493,108,15,11
1,63,388,106,13,11
2,63,493,107,15,11
1,63,387,105,13,11
2,63,492,107,15,11
1,63,387,106,13,11
2,63,494,107,15,11
1,64,385,106,13,11
2,64,497,107,15,11
1,64,384,105,13,11
2,64,496,107,15,11
1,64,386,106,13,11
2,64,498,108,15,11
1,64,385,107,13,11
2,64,496,109,15,11
1,64,386,107,13,11
2,64,497,109,15,11
1,64,386,107,13,11
2,64,498,109,15,11
1,64,388,109,13,11
2,64,494,112,15,11
1,64,388,109,13,11
2,64,494,112,15,11
1,64,389,110,13,11
2,64,495,112,15,11
1,64,389,110,13,11
2,64,494,113,15,11
1,65,388,109,13,11
2,65,494,112,15,11
1,65,390,109,13,11
2,65,496,112,15,11
1,65,391,112,13,11
2,65,498,114,15,11
1,65,390,109,13,11
2,65,497,112,15,11
1,65,390,110,13,11
2,65,497,112,15,11
1,65,390,112,13,11
2,65,497,115,15,11
1,65,390,112,13,11
2,65,497,115,15,11
1,65,391,110,13,11
2,65,498,113,15,11
1,65,391,111,13,11
2,65,498,114,15,11
1,65,390,111,13,11
2,65,497,114,15,11
1,66,391,111,13,11
2,66,498,114,15,11
1,66,391,112,13,11
2,66,498,115,15,11
1,66,392,115,13,11
2,66,499,119,15,11
1,66,395,113,13,11
2,66,502,117,15,11
1,66,391,113,13,11
2,66,499,117,15,11
1,66,389,115,13,11
2,66,497,119,15,11
1,66,393,115,13,11
2,66,501,119,15,11
1,66,392,116,13,11
2,66,501,119,15,11
1,66,391,114,13,11
2,66,498,118,15,11
1,66,394,114,13,11
2,66,502,118,15,11
1,67,393,117,13,11
2,67,502,121,15,11
1,67,394,117,13,11
2,67,502,121,15,11
1,67,393,114,13,11
2,67,502,118,15,11
1,67,395,118,13,11
2,67,503,121,15,11
1,67,394,117,13,11
2,67,502,120,15,11
1,67,396,116,13,11
2,67,503,119,15,11
1,67,392,116,13,11
2,67,505,119,15,11
1,67,391,117,13,11
2,67,505,120,15,11
1,67,393,116,13,11
2,67,506,119,15,11
1,67,391,116,13,11
2,67,506,119,15,11
1,68,392,116,13,11
2,68,507,120,15,11
1,68,392,117,13,11
2,68,508,120,15,11
1,68,395,120,13,11
2,68,505,122,15,11
1,68,396,122,13,11
2,68,506,124,15,11
1,68,396,120,13,11
2,68,505,122,15,11
1,68,398,123,13,11
2,68,507,124,15,11
1,68,398,122,13,11
2,68,507,124,15,11
1,68,398,120,13,11
2,68,507,122,15,11
1,68,397,119,13,11
2,68,506,121,15,11
1,68,398,126,13,11
2,68,508,127,15,11
1,69,398,126,13,11
2,69,509,126,15,11
1,69,398,121,13,11
2,69,508,122,15,11
1,69,398,120,13,11
2,69,507,121,15,11
1,69,398,123,13,11
2,69,508,124,15,11
1,69,398,124,13,11
2,69,508,123,15,11
1,69,398,123,13,11
2,69,509,122,15,11
1,69,398,124,13,11
2,69,509,122,15,11
1,69,398,126,13,11
2,69,510,124,15,11
1,69,398,125,13,11
2,69,509,123,15,11
1,69,399,126,13,11
2,69,510,123,15,11
1,70,399,127,13,11
2,70,509,124,15,11
1,70,400,127,13,11
2,70,510,124,15,11
1,70,399,127,13,11
2,70,510,123,15,11
1,70,399,126,13,11
2,70,510,122,15,11
1,70,399,127,13,11
2,70,510,122,15,11
1,70,401,128,13,11
2,70,512,123,15,11
1,70,402,128,13,11
2,70,513,124,15,11
1,70,400,127,13,11
2,70,511,122,15,11
1,70,401,129,13,11
2,70,512,123,15,11
1,70,402,130,13,11
2,70,513,124,15,11
1,70,401,129,13,11
2,70,512,123,15,11
1,71,399,128,13,11
2,71,516,122,15,11
1,71,398,128,13,11
2,71,515,122,15,11
1,71,398,128,13,11
2,71,516,121,15,11
1,71,400,127,13,11
2,71,517,121,15,11
1,71,400,128,13,11
2,71,517,122,15,11
1,71,399,129,13,11
2,71,516,124,15,11
1,71,400,129,13,11
2,71,514,125,15,11
1,71,402,129,13,11
2,71,515,124,15,11
1,71,403,130,13,11
2,71,516,124,15,11
1,71,403,130,13,11
2,71,516,125,15,11
1,72,401,131,13,11
2,72,514,126,15,11
1,72,402,129,13,11
2,72,515,125,15,11
1,72,405,129,13,11
2,72,519,125,15,11
1,72,404,131,13,11
2,72,518,127,15,11
1,72,403,131,13,11
2,72,516,128,15,11
1,72,404,128,13,11
2,72,517,124,15,11
1,72,403,131,13,11
2,72,517,126,15,11
1,72,404,131,13,11
2,72,518,127,15,11
1,72,403,128,13,11
2,72,516,124,15,11
